name,brand,notes,accords,description
Shalimar,Guerlain,"bergamot, lemon, jasmine, rose, iris, vetiver, opoponax, tonka bean, civet, musk","oriental, powdery, vanilla","The original oriental fragrance. Citrus-kissed flowers melt into a rich vanilla and incense drydown."
Angel,Thierry Mugler,"red fruits, blackcurrant, honey, jasmine, caramel, chocolate, patchouli, vanilla","gourmand, oriental, sweet","The original gourmand fragrance. Sweet caramel and chocolate with a dark patchouli heart."
Terre d'Hermes,Hermes,"grapefruit, orange, flint, pepper, pelargonium, vetiver, benzoin, cedar","woody, earthy, citrus","Mineral and earthy with radiant citrus. A journey from sky to earth, light to darkness."
Baccarat Rouge 540,Maison Francis Kurkdjian,"jasmine, saffron, amberwood, fir resin, cedar","amber, woody, floral","An airy, luminous amber fragrance. Warm sweetness with a radiant woody-floral character."
Tobacco Vanille,Tom Ford,"tobacco leaf, vanilla, tonka bean, tobacco flower, wood sap, cocoa, dried fruit","warm spicy, sweet, tobacco","Rich and comforting tobacco sweetened by vanilla and dried fruits. Like a cozy evening by the fire."
Molecule 01,Escentric Molecules,"iso e super","woody, clean, abstract","A single molecule fragrance. Iso E Super alone — cedar-like, woody, skin-like, unique on everyone."
Neroli Portofino,Tom Ford,"neroli, bergamot, lemon, mandarin orange, lavender, jasmine, myrtle, rosemary, amber, musk","fresh, citrus, floral","Italian Riviera bottled. Sparkling neroli and citrus with a clean floral heart and warm amber finish."
Silver Mountain Water,Creed,"bergamot, mandarin orange, green tea, blackcurrant, sandalwood, musk","fresh, aquatic, metallic","Like cold, pure mountain stream water. Green tea and blackcurrant with a clean metallic mineral quality."
Eros,Versace,"mint, green apple, lemon, tonka bean, geranium, ambroxan, vanilla, vetiver, oakmoss","fresh, aromatic, woody","Bold and passionate. Fresh mint and apple over warm tonka bean and sensual amber wood."
Good Girl,Carolina Herrera,"almond, coffee, tonka bean, tuberose, jasmine, cocoa, virginia cedar, sandalwood, musk","gourmand, floral, warm","Duality of good and bad. Sweet almond and coffee with a full floral heart and woody base."
Si,Giorgio Armani,"blackcurrant nectar, freesia, rose, patchouli, vanilla, ambrewood","floral, chypre, soft","Sensual and modern femininity. Blackcurrant sparkle over delicate florals and warm patchouli."
Libre,Yves Saint Laurent,"lavender, mandarin orange, jasmine, orange blossom, musk, ambergris, cedarmoss, vanilla","floral, aromatic, musky","A declaration of freedom. Lavender and orange blossom clash beautifully over a warm musk base."
Y,Yves Saint Laurent,"bergamot, ginger, geranium, sage, fir balsam, cedar, amberwood","aromatic, woody, fresh","Energetic and modern masculine. Fresh bergamot and sage with a bold woody aromatic heart."
Versace Pour Homme,Versace,"lemon, bergamot, neroli, jasmine, Mediterranean sea notes, hyacinth, cedar, musk","fresh, aromatic, aquatic","Mediterranean freshness. Citrus and sea breeze with a hyacinth heart and clean woody base."
1 Million,Paco Rabanne,"mandarin orange, blood orange, grapefruit, cinnamon, rose, spices, leather, patchouli, blond wood","warm spicy, leather, sweet","Gold-bar seduction. Sweet spices and leather with bright citrus and a dark, sensual drydown."
La Nuit de l'Homme,Yves Saint Laurent,"cardamom, bergamot, lavender, cedar, coumarin, vetiver","aromatic, woody, sweet","Night-time sensuality. Spicy cardamom and lavender meld into a warm, smooth cedar and coumarin base."
Daisy,Marc Jacobs,"strawberry, violet leaves, blood grapefruit, gardenia, jasmine, violet petals, musk, vanilla, white woods","floral, fresh, fruity","Fresh and innocent. Strawberry and grapefruit with a heart of gardenia and a clean white musk finish."
Clean Reserve Warm Cotton,Clean,"bergamot, lavender, cyclamen, orris, sandalwood, musk","clean, musky, fresh","The purest comfort scent. Fresh laundry and clean skin — warm cotton and soft musk."
Bal d'Afrique,Byredo,"bergamot, African marigold, violet, vetiver, jasmine, cyclamen, musk, cedarwood, Moroccan cedarwood","floral, woody, earthy","African marigold and bergamot with rich vetiver and musk. A vibrant floral with an earthy grounding."
Rose 31,Le Labo,"rose, cumin, cedar, gaiac wood, labdanum, musk, oud","rose, woody, spicy","A masculine take on rose. Spiced cumin and earthy woods give rose a dark, complex character."
Santal 33,Le Labo,"cardamom, iris, violet, sandalwood, papyrus, cedarwood, leather, musk","woody, leather, spicy","Cult status sandalwood. Warm cardamom and violet over creamy sandalwood and leather. Instantly recognizable."
Nishane Hacivat,Nishane,"pineapple, bergamot, jasmine, patchouli, sandalwood, musk","fruity, woody, fresh","Hacivat balances tropical pineapple with fresh bergamot and a rich, earthy patchouli-sandalwood base."
Spicebomb,Viktor and Rolf,"bergamot, grapefruit, cinnamon, chili pepper, tobacco, vetiver, leather","spicy, warm, tobacco","An explosive blend of spices. Tobacco and leather ignite with chili and cinnamon for a fiery masculine scent."
Invictus,Paco Rabanne,"grapefruit, sea salt, jasmine, bay laurel, guaiac wood, oakmoss, ambergris","aquatic, fresh, woody","Victory in a bottle. Sea salt and grapefruit with a warm woody amber base. Sporty and confident."
Tresor,Lancome,"peach, apricot, rose, jasmine, iris, heliotrope, sandalwood, musk, vanilla","floral, powdery, sweet","A timeless romantic fragrance. Soft peach and iris with rose and a warm, powdery vanilla base."
Opium,Yves Saint Laurent,"bergamot, pepper, plum, jasmine, rose, carnation, mandarin, cinnamon, clove, patchouli, frankincense","oriental, spicy, warm","Rich and intoxicating oriental. A dazzling mosaic of flowers and spices on a deep, smoky base."
N°19,Chanel,"neroli, aldehydes, iris, rose, lily of the valley, nerol, vetiver, oakmoss, sandalwood","floral, green, woody","Sophisticated green floral. Crisp aldehydes and iris with a clean, earthy vetiver and oakmoss base."
Midnight in Paris,Van Cleef and Arpels,"rum, cardamom, mimosa, mango, amber, violet, leather, tonka bean, patchouli, musk","oriental, floral, leather","The essence of Parisian nights. Rum and spice with rich floral and leather notes. Mysterious and elegant."
Acqua di Parma Colonia,Acqua di Parma,"calabrian bergamot, Sicilian lemon, Sicilian orange, lavender, verbena, rosemary, sandalwood, vetiver","citrus, fresh, aromatic","Italian elegance distilled. Pure Mediterranean citrus over classic barbershop herbs and warm sandalwood."
Calone,Davidoff Cool Water,"sea water, bergamot, lavender, calone, jasmine, neroli, sandalwood, musk, cedar","aquatic, fresh, aromatic","The original men's aquatic. Ocean freshness with aromatic herbs and clean woody notes."
Obsession,Calvin Klein,"mandarin orange, bergamot, lemon, jasmine, orange blossom, sandalwood, cedarwood, vetiver, amber, musk","oriental, warm, sensual","Sensual and daring. A warm oriental with citrus top, floral heart, and deep amber and sandalwood base."
Eternity,Calvin Klein,"freesia, sage, marigold, violet, lily, jasmine, sandalwood, amber, musk","floral, green, clean","Timeless and clean. Fresh florals and green herbs with a soft warm musk. Enduringly romantic."
Fahrenheit,Christian Dior,"bergamot, lavender, hawthorn, jasmine, nutmeg, violet, sandalwood, cedar, leather, vetiver","leather, woody, aromatic","Iconic and polarizing. Petrol leather accord with violet and nutmeg. Warm, smoky, and utterly unique."
Burberry Weekend,Burberry,"lemon, mandarin orange, peach, cedar, sandalwood, musk","fresh, citrus, floral","Light and breezy outdoors. Fresh citrus and peach with clean woods. Perfect warm-weather companion."
Givenchy Gentleman,Givenchy,"bergamot, iris, patchouli, vetiver, leather, tobacco","leather, iris, earthy","A modern gentleman accord. Powdery iris and tobacco over a dark leather and patchouli base."
Chrome,Azzaro,"pineapple, bergamot, lemon, rosemary, jasmine, lily of the valley, coriander, sandalwood, oakmoss, musk","fresh, aquatic, citrus","Sporty and versatile. Crisp citrus and pineapple with aromatic herbs and a clean woody musk finish."
Wanted,Azzaro,"lemon, cardamom, juniper, vetiver, guaiac wood, suede","woody, spicy, fresh","Magnetic and charismatic. Zesty lemon and cardamom with warm guaiac wood and suede. Modern Western spirit."
